 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -5 ° ;1.720;2.350;3.300;4.800;7.300;11.800;21.000;42.000
 -10 ° ;1.760;2.450;3.500;5.200;8.200;13.800;25.000;53.000
 -15 ° ;1.800;2.550;3.700;5.700;9.200;16.000;31.000;66.000
 -20 ° ;1.820;2.650;4.000;6.200;10.300;18.400;37.000;83.000
 -25 ° ;1.830;2.700;4.200;6.800;11.600;21.500;45.000;106.000
 -30 ° ;1.840;2.800;4.400;7.300;13.000;25.000;53.000;131.000
 -35 ° ;1.830;2.850;4.600;7.900;14.500;29.000;64.000;166.000
 -40 ° ;1.800;2.900;4.800;8.600;16.200;33.000;78.000;205.000
 -45 ° ;1.770;2.950;5.100;9.300;17.800;39.000;93.000;260.000
 -50 ° ;1.730;2.950;5.300;10.000;20.000;45.000;112.000;330.000
 -55 ° ;1.670;2.950;5.500;10.700;22.500;52.000;134.000;420.000
 -60 ° ;1.590;2.950;5.700;11.500;25.000;60.000;164.000;520.000
 -65 ° ;1.500;2.900;5.800;12.400;28.000;69.000;198.000;660.000
 -70 ° ;1.400;2.850;6.000;13.300;31.000;81.000;235.000;830.000
 -75 ° ;1.290;2.800;6.200;14.200;35.000;94.000;285.000;  
 -80 ° ;1.150;2.700;6.300;15.200;39.000;108.000;340.000;  
 -85 ° ;1.010;2.600;6.400;16.300;43.000;126.000;420.000;  
 -90 ° ;  ;2.450;6.500;17.400;48.000;146.000;500.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.160;1.440;1.800;2.300;3.100;4.400
 45 ° ;  ;1.120;1.360;1.680;2.100;2.800;3.900;5.600
 40 ° ;1.050;1.260;1.540;1.930;2.500;3.400;4.800;7.200
 35 ° ;1.150;1.400;1.730;2.200;2.900;4.000;5.900;9.000
 30 ° ;1.250;1.530;1.930;2.500;3.300;4.700;7.100;11.400
 25 ° ;1.340;1.670;2.150;2.850;3.800;5.500;8.600;14.400
 20 ° ;1.420;1.810;2.350;3.200;4.400;6.500;10.400;18.000
 15 ° ;1.500;1.940;2.550;3.500;5.000;7.500;12.500;22.500
 10 ° ;1.580;2.050;2.800;3.900;5.700;9.000;15.200;28.000
 5 ° ;1.650;2.200;3.000;4.300;6.500;10.000;18.400;35.000
 0 ° ;1.710;2.300;3.300;4.800;7.300;12.000;22.000;45.000
 -5 ° ;1.760;2.450;3.500;5.200;8.300;14.000;26.500;56.000
 -10 ° ;1.810;2.550;3.700;5.700;9.300;16.300;32.000;71.000
 -15 ° ;1.840;2.650;4.000;6.200;10.500;19.000;38.000;89.000
 -20 ° ;1.870;2.750;4.200;6.800;11.700;22.000;46.000;112.000
 -25 ° ;1.880;2.850;4.400;7.400;13.200;25.500;56.000;142.000
 -30 ° ;1.880;2.900;4.700;8.000;14.800;29.500;67.000;178.000
 -35 ° ;1.870;2.950;4.900;8.600;16.400;34.000;81.000;225.000
 -40 ° ;1.840;3.000;5.100;9.400;18.400;40.000;98.000;280.000
 -45 ° ;1.810;3.000;5.400;10.100;20.500;46.000;117.000;350.000
 -50 ° ;1.760;3.100;5.600;10.900;23.000;53.000;141.000;450.000
 -55 ° ;1.700;3.100;5.800;11.700;25.500;61.000;170.000;560.000
 -60 ° ;1.620;3.100;6.000;12.600;28.500;71.000;205.000;710.000
 -65 ° ;1.540;3.000;6.200;13.500;32.000;82.000;250.000;890.000
 -70 ° ;1.430;3.000;6.400;14.500;35.000;96.000;295.000;  
 -75 ° ;1.330;2.900;6.600;15.500;40.000;110.000;360.000;  
 -80 ° ;1.180;2.800;6.700;16.600;44.000;128.000;430.000;  
 -85 ° ;1.030;2.700;6.800;17.800;49.000;149.000;530.000;  
 -90 ° ;  ;2.550;7.000;19.100;55.000;172.000;630.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.010;1.240;1.540;1.960;2.600;3.600;5.200
 45 ° ;  ;1.160;1.420;1.780;2.300;3.100;4.400;6.500
 40 ° ;1.070;1.290;1.610;2.050;2.700;3.700;5.300;8.300
 35 ° ;1.170;1.440;1.800;2.350;3.100;4.400;6.500;10.500
 30 ° ;1.270;1.570;2.000;2.650;3.600;5.200;7.900;13.100
 25 ° ;1.360;1.710;2.200;3.000;4.100;6.100;9.600;16.500
 20 ° ;1.440;1.850;2.450;3.300;4.700;7.100;11.600;21.000
 15 ° ;1.530;1.980;2.650;3.700;5.400;8.300;13.800;26.000
 10 ° ;1.600;2.100;2.900;4.100;6.100;9.800;16.800;32.000
 5 ° ;1.670;2.250;3.100;4.500;6.900;11.300;20.500;41.000
 0 ° ;1.730;2.350;3.400;5.000;7.800;13.000;24.500;52.000
 -5 ° ;1.790;2.500;3.600;5.500;8.800;15.200;28.500;65.000
 -10 ° ;1.830;2.600;3.800;6.000;9.900;17.800;36.000;82.000
 -15 ° ;1.860;2.700;4.100;6.500;11.100;20.500;43.000;104.000
 -20 ° ;1.890;2.800;4.300;7.100;12.500;24.000;52.000;130.000
 -25 ° ;1.900;2.900;4.600;7.700;14.000;28.000;62.000;164.000
 -30 ° ;1.900;2.950;4.800;8.400;15.600;32.000;75.000;205.000
 -35 ° ;1.890;3.000;5.100;9.000;17.400;37.000;90.000;260.000
 -40 ° ;1.860;3.100;5.300;9.800;19.400;43.000;110.000;330.000
 -45 ° ;1.830;3.100;5.500;10.600;22.000;50.000;130.000;410.000
 -50 ° ;1.780;3.100;5.800;11.400;24.500;58.000;157.000;520.000
 -55 ° ;1.720;3.100;6.000;12.300;27.000;67.000;192.000;650.000
 -60 ° ;1.640;3.100;6.200;13.200;30.000;78.000;230.000;820.000
 -65 ° ;1.550;3.100;6.400;14.200;34.000;90.000;280.000;  
 -70 ° ;1.440;3.000;6.600;15.200;37.000;105.000;330.000;  
 -75 ° ;1.330;2.950;6.800;16.200;42.000;122.000;400.000;  
 -80 ° ;1.190;2.850;6.900;17.400;47.000;140.000;480.000;  
 -85 ° ;1.040;2.750;7.100;18.700;53.000;162.000;590.000;  
 -90 ° ;  ;2.600;7.200;20.000;59.000;190.000;710.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.130;1.410;1.820;2.400;3.300;4.900;7.800
 45 ° ;1.020;1.270;1.610;2.100;2.800;4.000;6.100;9.900
 40 ° ;1.130;1.400;1.800;2.400;3.300;4.700;7.400;11.500
 35 ° ;1.230;1.550;2.000;2.700;3.800;5.600;9.000;15.700
 30 ° ;1.330;1.690;2.200;3.000;4.300;6.600;10.800;19.800
 25 ° ;1.420;1.840;2.450;3.400;4.900;7.700;13.100;25.000
 20 ° ;1.500;1.980;2.700;3.800;5.600;9.100;15.800;31.000
 15 ° ;1.590;2.100;2.900;4.200;6.400;10.600;19.000;39.000
 10 ° ;1.660;2.250;3.200;4.700;7.300;12.400;23.000;50.000
 5 ° ;1.740;2.400;3.400;5.100;8.200;14.400;28.000;62.000
 0 ° ;1.790;2.500;3.700;5.700;9.300;16.600;34.000;78.000
 -5 ° ;1.850;2.650;3.900;6.200;10.500;19.400;41.000;99.000
 -10 ° ;1.890;2.750;4.200;6.800;11.700;22.500;49.000;124.000
 -15 ° ;1.920;2.850;4.400;7.400;13.200;26.000;59.000;156.000
 -20 ° ;1.940;2.950;4.700;8.000;14.800;30.000;71.000;197.000
