 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -35 ° ;1.760;2.700;4.200;7.000;12.300;23.500;49.000;118.000
 -40 ° ;1.750;2.700;4.400;7.600;13.600;27.000;59.000;145.000
 -45 ° ;1.700;2.750;4.600;8.100;15.200;31.000;70.000;188.000
 -50 ° ;1.660;2.750;4.800;8.800;16.900;36.000;85.000;230.000
 -55 ° ;1.600;2.750;5.000;9.400;19.000;41.000;102.000;295.000
 -60 ° ;1.520;2.700;5.100;10.000;21.000;47.000;122.000;390.000
 -65 ° ;1.430;2.700;5.300;10.700;23.400;56.000;148.000;470.000
 -70 ° ;1.340;2.600;5.400;11.400;26.000;64.000;178.000;580.000
 -75 ° ;1.160;2.550;5.500;12.300;29.000;74.000;215.000;740.000
 -80 ° ;1.060;2.450;5.600;13.100;32.000;86.000;260.000;930.000
 -85 ° ;  ;2.350;5.700;13.900;36.000;100.000;310.000;  
 -90 ° ;  ;2.050;5.800;14.900;40.000;116.000;380.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.040;1.280;1.560;1.980;2.600;3.500
 45 ° ;  ;1.050;1.260;1.540;1.920;2.450;3.400;4.400
 40 ° ;1.020;1.200;1.450;1.800;2.250;2.900;3.900;5.600
 35 ° ;1.120;1.340;1.650;2.050;2.600;3.400;4.700;6.800
 30 ° ;1.220;1.480;1.820;2.300;3.000;4.000;5.700;8.600
 25 ° ;1.310;1.610;2.000;2.600;3.500;4.800;6.900;10.800
 20 ° ;1.390;1.730;2.200;2.900;3.900;5.500;8.300;13.200
 15 ° ;1.470;1.860;2.400;3.200;4.500;6.500;10.000;16.600
 10 ° ;1.540;1.980;2.600;3.600;5.000;7.400;11.800;22.000
 5 ° ;1.600;2.100;2.850;3.900;5.700;8.700;14.400;26.000
 0 ° ;1.660;2.200;3.000;4.300;6.400;10.100;17.200;32.000
 -5 ° ;1.710;2.300;3.200;4.700;7.200;11.700;21.000;41.000
 -10 ° ;1.750;2.450;3.500;5.100;8.000;13.400;25.000;50.000
 -15 ° ;1.780;2.500;3.700;5.600;9.000;15.600;29.500;63.000
 -20 ° ;1.800;2.600;3.900;6.100;10.000;17.800;36.000;79.000
 -25 ° ;1.820;2.700;4.100;6.600;11.300;21.000;42.000;100.000
 -30 ° ;1.820;2.750;4.300;7.100;12.500;24.000;51.000;124.000
 -35 ° ;1.800;2.800;4.500;7.700;14.000;27.500;61.000;154.000
 -40 ° ;1.770;2.800;4.700;8.200;15.500;32.000;74.000;196.000
 -45 ° ;1.740;2.850;4.900;8.900;17.400;37.000;89.000;250.000
 -50 ° ;1.690;2.850;5.100;9.600;19.200;43.000;107.000;310.000
 -55 ° ;1.630;2.850;5.300;10.300;21.500;49.000;128.000;390.000
 -60 ° ;1.550;2.850;5.400;11.000;24.000;57.000;154.000;500.000
 -65 ° ;1.460;2.800;5.600;11.800;26.500;67.000;186.000;620.000
 -70 ° ;1.360;2.700;5.700;12.600;30.000;76.000;225.000;780.000
 -75 ° ;1.220;2.650;5.800;13.400;33.000;90.000;270.000;980.000
 -80 ° ;1.110;2.550;6.000;14.300;37.000;102.000;330.000;  
 -85 ° ;  ;2.450;6.000;15.300;41.000;120.000;400.000;  
 -90 ° ;  ;2.300;6.100;16.400;45.000;138.000;480.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.120;1.400;1.720;2.200;2.850;4.100
 45 ° ;  ;1.100;1.320;1.640;2.100;2.700;3.600;5.000
 40 ° ;1.040;1.240;1.520;1.900;2.400;3.200;4.400;6.300
 35 ° ;1.140;1.380;1.710;2.150;2.800;3.700;5.300;7.900
 30 ° ;1.240;1.520;1.900;2.450;3.200;4.400;6.400;9.900
 25 ° ;1.320;1.650;2.100;2.700;3.700;5.200;7.700;12.800
 20 ° ;1.410;1.770;2.300;3.000;4.200;6.000;9.200;15.200
 15 ° ;1.490;1.900;2.500;3.400;4.700;7.000;11.000;19.200
 10 ° ;1.560;2.050;2.700;3.700;5.400;8.100;13.200;23.500
 5 ° ;1.620;2.150;2.900;4.100;6.100;9.400;16.000;30.000
 0 ° ;1.680;2.250;3.100;4.400;6.800;10.900;19.200;37.000
 -5 ° ;1.730;2.400;3.400;4.900;7.600;12.600;23.000;47.000
 -10 ° ;1.780;2.500;3.600;5.400;8.500;14.500;27.500;58.000
 -15 ° ;1.800;2.550;3.800;5.800;9.600;16.900;33.000;73.000
 -20 ° ;1.820;2.650;4.000;6.300;10.700;19.500;40.000;91.000
 -25 ° ;1.840;2.700;4.200;6.900;11.900;22.500;47.000;115.000
 -30 ° ;1.840;2.850;4.400;7.400;13.200;26.000;57.000;145.000
 -35 ° ;1.820;2.650;4.600;8.000;14.900;30.000;68.000;184.000
 -40 ° ;1.800;2.850;4.800;8.600;16.500;35.000;82.000;230.000
 -45 ° ;1.760;2.900;5.000;9.300;18.400;40.000;99.000;290.000
 -50 ° ;1.710;2.900;5.200;8.800;20.500;46.000;119.000;360.000
 -55 ° ;1.640;2.900;5.400;10.800;23.000;54.000;144.000;460.000
 -60 ° ;1.570;2.900;5.600;11.400;25.500;62.000;172.000;580.000
 -65 ° ;1.470;2.850;5.700;12.300;28.000;72.000;210.000;720.000
 -70 ° ;1.380;2.800;5.800;13.100;31.000;83.000;250.000;910.000
 -75 ° ;1.220;2.700;6.000;14.000;35.000;97.000;300.000;  
 -80 ° ;1.120;2.600;6.100;15.000;39.000;111.000;380.000;  
 -85 ° ;  ;2.500;6.200;16.000;44.000;130.000;440.000;  
 -90 ° ;  ;2.350;6.300;17.100;49.000;150.000;532.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.080;1.340;1.670;2.200;2.900;4.100;6.000
 45 ° ;1.000;1.220;1.520;1.930;2.550;3.400;4.900;7.500
 40 ° ;1.100;1.350;1.700;2.200;2.900;4.000;5.900;9.500
 35 ° ;1.200;1.490;1.900;2.500;3.400;4.800;7.200;11.700
 30 ° ;1.290;1.620;2.100;2.750;3.800;5.600;8.700;14.800
 25 ° ;1.380;1.760;2.300;3.100;4.400;6.500;10.400;18.400
 20 ° ;1.460;1.880;2.500;3.500;5.000;7.600;12.400;23.000
 15 ° ;1.550;2.000;2.750;3.800;5.700;8.900;15.000;28.500
 10 ° ;1.620;2.150;2.950;4.200;6.400;10.200;18.000;36.000
 5 ° ;1.680;2.300;3.200;4.700;7.200;11.800;21.500;44.000
 0 ° ;1.740;2.400;3.400;5.100;8.000;13.700;26.000;56.000
 -5 ° ;1.780;2.500;3.600;5.500;9.000;15.900;31.000;70.000
 -10 ° ;1.830;2.600;3.900;6.000;10.100;18.300;38.000;88.000
 -15 ° ;1.860;2.700;4.100;6.600;11.300;21.000;45.000;111.000
 -20 ° ;1.880;2.800;4.300;7.100;12.600;24.500;54.000;138.000
 -25 ° ;1.890;2.850;4.600;7.700;14.100;28.000;64.000;174.000
